i,j,D_l
8,46,0.03096347673253922
8,47,0.023543034369834365
8,48,0.00563280149264869
8,49,0.019803416546715448
8,50,0.021504924276197324
8,51,0.03247023047755049
8,52,0.017881603276683044
8,53,0.01745296158247626
8,54,0.0072831075256991114
8,55,0.018325406516555304
8,56,0.015959200961999237
8,57,0.0021490697121266085
8,58,0.002550960394857017
8,59,0.02700090825125246
8,60,0.01811043979289378
8,61,0.035597249728203384
8,62,0.013833309959383148
8,63,0.003110340521383559
8,64,0.02811339465429777
8,65,0.0003936878500839129
8,66,0.0034205879261059485
8,67,0.022299646798092737
8,68,0.03946683988634376
8,69,0.02422000974955994
8,70,0.03259806743171325
8,71,0.004056300992901949
8,72,0.006735819390763031
8,73,0.005985680792925369
8,74,0.018531810902938713
8,75,0.0045723757780544005
8,76,0.009306144230892873
8,77,0.01615692372330987
8,78,0.009404381904209193
8,79,0.022208887880420636
8,80,0.005534265783460584
8,81,0.010931484150594134
8,82,0.011714924434717692
8,83,0.021793911585112527
8,84,0.021601554278496547
8,85,0.006298251718628695
8,86,0.011866765116838577
8,87,0.003935043751490654
8,88,0.023724293838248884
8,89,0.006539783247586876
8,90,0.006378570694247982
8,91,0.001682097821355522
8,92,0.015077544195097372
8,93,0.01544888197371759
8,94,0.03238396629914894
8,95,0.030841488599474148
8,96,0.021150387039832144
8,97,0.02565452711349531
8,98,0.020008654024680904
8,99,0.019436234688318243
9,0,0.008344226438103088
9,1,0.030767902721235224
9,2,0.028845082627166105
9,3,0.027812215079051253
9,4,0.0251686530213507
9,5,0.035607233038469695
9,6,0.014877274151145783
9,7,0.012010677180566963
9,8,0.0055708061496539075
9,9,0.0
9,10,0.009708912700051527
9,11,0.005329639646016407
9,12,0.027240500505042422
9,13,0.005528504846820927
9,14,0.04237079983586631
9,15,0.0062701469991326315
9,16,0.02630536311847797
9,17,0.005882006255077958
9,18,0.0356618621824992
9,19,0.0031072358464376967
9,20,0.03449502105230383
9,21,0.022711524231373594
9,22,0.00620566046880976
9,23,0.036045569654680844
9,24,0.013780020739431553
9,25,0.025438111582721114
9,26,0.0200540823836923
9,27,0.02101861475650364
9,28,0.005310250622938226
9,29,0.030444304767761454
9,30,0.0054517108583278465
9,31,0.02418770005859785
9,32,0.023374742120180637
9,33,0.013324976448710954
9,34,0.011694344978952541
9,35,0.011051587714948713
9,36,0.023577084387768923
9,37,0.0306751349948508
9,38,0.0002213802968615753
9,39,0.0075287437626973385
9,40,0.034282967871138506
9,41,0.018463200466465393
9,42,0.0015671910534787057
9,43,0.008314994412066935
9,44,0.03256286564270649
9,45,0.0022353129228244025
9,46,0.025404100530784228
9,47,0.01797765161602995
9,48,0.011152268909241696
9,49,0.025372521166708274
9,50,0.01595085881480459
9,51,0.03802865367736068
9,52,0.02344953694553452
9,53,0.011904617946805673
9,54,0.012840768451311902
9,55,0.023894226265723892
9,56,0.021519229007444723
9,57,0.007717949629318241
9,58,0.003293579539323982
9,59,0.032563238828890825
9,60,0.023674727387930528
9,61,0.04115978447774184
9,62,0.008300439092064299
9,63,0.008672484426155034
9,64,0.03367260159071216
9,65,0.005489078129010283
9,66,0.008958106969765503
9,67,0.016736094386312687
9,68,0.03390424203697571
9,69,0.018670932528707013
9,70,0.03816208516977627
9,71,0.009514294688600284
9,72,0.001327503597538484
9,73,0.0005222183847028427
9,74,0.02410088749568284
9,75,0.0010432863669424637
9,76,0.014869150435263004
9,77,0.010607280046499993
9,78,0.003839683625196361
9,79,0.01664892162083464
9,80,0.011104855872068694
9,81,0.005482871612496316
9,82,0.017282621959983015
9,83,0.01623090098351506
9,84,0.01605512115230307
9,85,0.001702073079242966
9,86,0.006350871131261935
9,87,0.009399855698866741
9,88,0.029291718889528192
9,89,0.012098072416972586
9,90,0.0014183346428695886
9,91,0.003903159230388177
9,92,0.020642092643047335
9,93,0.00988153373945273
9,94,0.026825440732656757
9,95,0.036397625065479895
9,96,0.015590635280435645
9,97,0.0200987137678054
9,98,0.014448594374053764
9,99,0.013870585938706376
10,0,0.0016242384264544875
10,1,0.04044336704769389
10,2,0.01914676487056225
10,3,0.01813317098671267
10,4,0.015473608066147896
10,5,0.025971431126458014
10,6,0.024534201296724033
10,7,0.0023027295232647335
10,8,0.004146277975108649
10,9,0.009708912700051527
10,10,0.0
10,11,0.01499478815407875
10,12,0.0369181981283199
10,13,0.004201514797319074
10,14,0.03269061521769173
10,15,0.0035100017396668464
10,16,0.016606220882273877
10,17,0.015398183627360437
10,18,0.02598017207204718
10,19,0.0070583253986037505
10,20,0.02482714497611369
10,21,0.032394451597540064
10,22,0.0035107511151014244
10,23,0.026393045928520823
10,24,0.0234494206234487
10,25,0.035114205387058936
10,26,0.010416769222691264
10,27,0.011321720572722632
10,28,0.004443697129629335
10,29,0.040123920068885155
10,30,0.004332166153938354
10,31,0.03385196836949796
