i,j,D_l
7,2,0.03712541227555543
7,3,0.006864256337698218
7,4,0.022651148432272106
7,5,0.008377333517835104
7,6,0.03822091437093917
7,7,0.0
7,8,0.03878201804304507
7,9,0.026755345331475916
7,10,0.04070584779378581
7,11,0.030271081401819975
7,12,0.023380830523621592
7,13,0.035219255803918784
7,14,0.014775963179103556
7,15,0.014241025418957179
7,16,0.031132443621706658
7,17,0.014039028506101467
7,18,0.021163029033423014
7,19,0.014159740865317046
7,20,0.014916491763747564
7,21,0.008457430087365929
7,22,0.0058866363831870305
7,23,0.015170652453090508
7,24,0.01864285538749409
7,25,0.01615496218573132
7,26,0.021662291659892512
7,27,0.018929608693830598
7,28,0.005159246335073922
7,29,0.015744356658318498
7,30,0.02813292884125896
7,31,0.022185472877514833
7,32,0.04122198749743241
7,33,0.0040322160346386
7,34,0.041449479512817695
7,35,0.013046715975919304
7,36,0.01881563325409391
7,37,0.0110611690425333
7,38,0.00801849010154936
7,39,0.036062219280176895
7,40,0.030210656019479077
7,41,0.020289404718497373
7,42,0.0069310966493992135
7,43,0.030799821270988022
7,44,0.02541906891459413
7,45,0.0090678427262674
7,46,0.01684204513372976
7,47,0.029611244997263725
7,48,0.03466369317742778
7,49,0.003367357915024912
7,50,0.019104668083913142
7,51,0.008965372805937918
7,52,0.03835147489109081
7,53,0.006086539301256809
7,54,0.017286159325471933
7,55,0.015742024197982697
7,56,0.008371374234467446
7,57,0.03373938322074354
7,58,0.011220490331816926
7,59,0.016780803289572273
7,60,0.00902936799312431
7,61,0.025377323904772184
7,62,0.00637026490021535
7,63,0.012291780315076481
7,64,0.014961589351582625
7,65,0.006943421781742467
7,66,0.006594129326962497
7,67,0.03775373146240798
7,68,0.014586420264717626
7,69,0.02953603155252638
7,70,0.006797752807052781
7,71,0.030664314587518126
7,72,0.0075481483378769644
7,73,0.043190900838094584
7,74,0.012157548781853662
7,75,0.01027790818633496
7,76,0.036073220027866726
7,77,0.007866615921910309
7,78,0.007368105413635926
7,79,0.017902382358668235
7,80,0.009762382210675175
7,81,0.005567768423004941
7,82,0.04299931268608846
7,83,0.012430715292998986
7,84,0.016651794469518234
7,85,0.03219270197221864
7,86,0.03383652854556319
7,87,0.015332684325551292
7,88,0.008220845912533139
7,89,0.006267031441458491
7,90,0.00978935296191416
7,91,0.03638435129036933
7,92,0.017823456651147526
7,93,0.043006087622876915
7,94,0.014449203858891882
7,95,0.04054740997030711
7,96,0.037898153335676796
7,97,0.012779070506704127
7,98,0.031640682613560615
7,99,0.012941463064578974
8,0,0.04998148428803086
8,1,0.005237059071950657
8,2,0.0016591755782816612
8,3,0.04104809108552878
8,4,0.016151567237145163
8,5,0.03042137140718885
8,6,0.0010101342151728205
8,7,0.03878201804304507
8,8,0.0
8,9,0.013304182931930458
8,10,0.0021622482581227513
8,11,0.009423547242136647
8,12,0.06151581252745581
8,13,0.0037327721505644256
8,14,0.05331555550542468
8,15,0.026742512441281292
8,16,0.008344562656886299
8,17,0.02607906304252491
8,18,0.05944841194172371
8,19,0.026876245759309657
8,20,0.02481810871156769
8,21,0.04719756193092479
8,22,0.04465799249633356
8,23,0.05262872129014299
8,24,0.020149880164124685
8,25,0.022883330362399156
8,26,0.017931745175409214
8,27,0.020858029633191905
8,28,0.042012996797359564
8,29,0.02422167657772206
8,30,0.010905655898396989
8,31,0.06078858466270351
8,32,0.0025527223424376775
8,33,0.03479454662914944
8,34,0.005838317088009531
8,35,0.05087337641081149
8,36,0.057214606899669895
8,37,0.0496269501403541
8,38,0.03597670489262169
8,39,0.005284542936413533
8,40,0.0098995796861936
8,41,0.05901088052104953
8,42,0.03807612033470177
8,43,0.00798985540416633
8,44,0.014189875739151031
8,45,0.03377716589193036
8,46,0.021975165931806664
8,47,0.009744714059788771
8,48,0.006377446711115827
8,49,0.035682586822402496
8,50,0.019835747162831444
8,51,0.047692130712071075
8,52,0.005297123902012358
8,53,0.04235127684578725
8,54,0.02170908668845437
8,55,0.023120868211909874
8,56,0.037900023994857666
8,57,0.005904795003015868
8,58,0.049982245828283936
8,59,0.02248229628813263
8,60,0.04553525234671521
8,61,0.014778832073273138
8,62,0.03250276629353198
8,63,0.026548257011000186
8,64,0.02389207271738541
8,65,0.04571549483656771
8,66,0.03754585853788837
8,67,0.006144609458201258
8,68,0.053278716602609674
8,69,0.013190057344401988
8,70,0.04452992777612805
8,71,0.008464785831051933
8,72,0.04253096126924659
8,73,0.004414203180397399
8,74,0.027979864258435867
8,75,0.04882919914073856
8,76,0.002838253584663275
8,77,0.03093557360128312
8,78,0.045287461300881855
8,79,0.05665290431562668
8,80,0.04345231872120794
8,81,0.03426406709371163
8,82,0.004864534058494458
8,83,0.028060862906679345
8,84,0.05539940062675156
8,85,0.0066854541793835345
8,86,0.005668155935919927
8,87,0.05314470888267892
8,88,0.03247744539894232
8,89,0.03336314422564256
8,90,0.029050976972262908
8,91,0.01133755507546987
8,92,0.023286621859590975
8,93,0.006024916232586146
8,94,0.0525556618376362
8,95,0.0070567306176555255
8,96,0.004289219290271342
8,97,0.05126791860932932
8,98,0.008490594340473332
8,99,0.026284789073585085
9,0,0.03728015733984406
9,1,0.014497798826056823
9,2,0.011720525006437162
9,3,0.02823836815166778
9,4,0.007444822637340813
9,5,0.018574104393534352
9,6,0.012937222964143765
9,7,0.026755345331475916
9,8,0.013304182931930458
9,9,0.0
9,10,0.014966182911967557
9,11,0.003909672639873853
9,12,0.05009102931398547
9,13,0.010347455334937541
9,14,0.04152128705338812
9,15,0.02035487286996874
9,16,0.011396020658297918
9,17,0.018441782984588997
9,18,0.04789229628787856
9,19,0.020492939357469996
9,20,0.016971023163753266
9,21,0.03484105212011856
9,22,0.032551828981583285
9,23,0.041596036925297314
9,24,0.009802599858323099
9,25,0.013706251233781806
9,26,0.014211436915387772
9,27,0.01563802752107265
9,28,0.029320538167750602
9,29,0.011305414088867953
9,30,0.004202605261281196
9,31,0.048895940795971225
9,32,0.0158562365646299
9,33,0.023090969675606414
9,34,0.01518784717858705
9,35,0.039603706812894594
9,36,0.04440117527532602
